武将,夏侯惇,吕蒙,法正,甄姬,孙策,关羽,姜维,袁术,于禁,小乔,曹操,孟获,魏延,庞统,祝融,凌统,张春华,贾诩,吕布,郭嘉,庞德,庞德,周瑜,周瑜,关羽,张辽,公孙瓒,貂蝉,高顺,黄忠,赵云,马超,典韦,徐盛,黄月英,貂蝉,贾诩,司马懿,关羽,马超,曹植,张飞,曹操,刘备,徐晃,吕蒙,周泰,甘宁,袁绍,陆逊,邓艾,孙坚,孙权,董卓,司马懿,孙尚香,孙尚香,许褚,诸葛亮,赵云,诸葛亮,吕布,张角,张角,徐庶,陈宫,大乔,夏侯渊,曹仁,太史慈,马谡,曹丕,张昭&张紘,吴国太,杨修,曹仁,荀彧,黄盖,华佗,颜良&文丑,蔡文姬,鲁肃,于吉,蔡文姬
夏侯惇,,0.417,0.417,0.583,0.500,0.333,0.583,0.250,0.333,0.583,0.500,0.583,0.750,0.583,0.583,0.500,0.417,0.750,0.667,0.500,0.667,0.917,0.750,0.917,0.917,0.667,0.667,0.500,0.917,0.667,0.667,0.750,0.917,0.667,0.583,0.583,0.667,0.750,0.833,0.667,0.500,0.750,0.667,0.917,0.750,0.833,0.833,0.750,0.833,0.667,0.667,0.833,0.833,0.833,0.750,0.667,0.917,0.833,0.917,1.000,0.917,0.833,0.917,0.917,0.667,0.917,0.917,0.917,0.833,0.917,0.833,0.917,0.833,0.833,0.833,0.917,0.917,0.917,0.917,0.917,0.917,0.833,1.000,1.000
吕蒙,0.583,,0.750,0.583,0.500,0.500,0.667,0.333,0.750,1.000,0.417,0.667,0.667,0.500,0.667,0.583,0.500,0.500,0.583,0.667,0.583,0.667,0.833,0.667,0.750,0.500,0.667,0.583,0.750,0.667,0.750,0.750,0.833,0.667,0.750,0.667,0.833,0.750,0.750,0.500,0.750,0.583,0.667,0.833,0.833,0.667,0.917,0.583,0.667,0.667,0.917,0.917,0.750,0.667,0.833,0.833,0.833,0.833,0.917,1.000,0.667,0.667,0.667,0.667,0.917,0.917,1.000,0.833,1.000,0.917,1.000,0.833,1.000,1.000,0.833,0.917,0.833,0.667,1.000,0.917,0.833,0.583,0.917,0.917
法正,0.583,0.250,,0.750,0.667,0.333,0.500,0.750,0.417,0.417,0.667,0.500,0.250,0.583,0.750,0.750,0.833,0.667,0.500,0.833,0.667,0.667,1.000,0.667,0.667,0.667,0.583,0.583,0.667,0.583,0.750,0.750,0.917,0.583,0.667,0.500,0.667,0.583,0.667,0.583,0.667,0.750,0.750,0.667,0.667,0.583,0.583,0.833,0.667,0.917,0.667,0.917,0.667,0.667,0.667,0.833,0.917,0.750,1.000,0.917,0.750,0.833,0.500,1.000,0.750,1.000,0.750,0.917,0.917,0.917,0.917,0.833,0.750,1.000,0.917,0.750,0.833,0.917,0.917,0.917,1.000,0.917,0.917,1.000
甄姬,0.417,0.417,0.250,,0.500,0.417,0.417,0.500,0.500,0.250,0.667,0.667,0.500,0.417,0.500,0.667,0.417,0.583,0.917,0.750,0.750,0.750,0.417,0.667,0.667,0.583,0.750,0.750,0.500,0.500,0.750,0.750,0.667,0.667,0.833,0.667,0.750,0.583,0.583,0.750,0.583,0.833,0.667,0.500,0.750,0.583,0.583,0.667,0.833,0.917,0.750,0.750,0.833,0.667,0.917,0.833,0.833,0.917,0.833,0.833,0.583,0.833,0.833,0.667,0.833,0.917,0.917,0.917,1.000,0.833,0.750,0.750,1.000,0.917,0.917,0.917,1.000,0.750,0.917,1.000,0.917,0.917,1.000,0.917
孙策,0.500,0.500,0.333,0.500,,0.750,0.417,0.417,0.333,0.500,0.750,0.750,0.667,0.833,0.500,0.500,1.000,0.667,0.667,0.750,0.750,0.583,0.667,0.417,0.667,0.750,0.750,0.667,0.333,0.500,0.667,0.667,0.583,0.667,0.500,0.583,0.417,0.583,0.667,0.583,0.750,0.833,0.667,0.667,0.833,0.750,0.750,0.667,0.833,0.833,0.583,0.750,0.750,0.750,0.833,0.750,0.583,0.667,0.833,0.500,0.833,1.000,0.917,0.833,0.667,0.917,0.833,0.917,0.750,0.833,0.833,0.750,0.917,0.833,0.917,0.917,1.000,0.833,1.000,1.000,1.000,0.833,1.000,0.917
关羽,0.667,0.500,0.667,0.583,0.250,,0.417,0.250,0.583,0.750,0.583,0.500,0.667,0.667,0.750,0.667,0.417,0.833,0.333,0.583,0.500,0.750,0.583,0.500,0.667,0.833,0.583,0.500,0.417,0.417,0.750,0.833,0.500,0.750,0.750,0.500,0.500,0.667,0.500,0.917,0.667,0.667,0.750,0.750,0.667,0.833,0.667,0.917,0.750,0.417,0.833,0.750,0.750,0.750,0.833,0.750,0.667,0.750,0.917,0.750,1.000,0.833,0.583,0.833,0.833,0.750,0.750,0.833,1.000,0.917,0.750,0.917,0.917,0.750,1.000,0.917,0.833,0.917,1.000,0.917,1.000,1.000,1.000,0.833
姜维,0.417,0.333,0.500,0.583,0.583,0.583,,0.500,0.167,0.583,0.417,0.583,0.917,0.667,0.500,0.333,0.417,0.500,0.583,0.667,0.667,0.417,0.667,0.417,0.667,0.500,0.583,0.417,0.750,0.833,0.667,0.750,0.583,0.417,0.583,0.667,0.750,0.500,0.583,0.667,0.417,0.667,0.667,0.833,0.833,0.917,0.667,0.917,0.833,0.667,0.750,0.750,0.750,0.667,0.833,0.667,0.583,0.583,0.667,0.833,0.417,0.750,0.750,0.833,1.000,0.917,0.917,0.833,0.917,0.917,0.917,0.833,0.833,0.833,0.833,0.917,0.917,0.833,1.000,1.000,1.000,0.917,1.000,1.000
袁术,0.750,0.667,0.250,0.500,0.583,0.750,0.500,,0.583,0.583,0.667,0.500,0.667,0.583,0.250,0.667,0.667,0.750,0.583,0.500,0.583,0.500,0.917,0.417,0.750,0.750,0.500,0.500,0.583,0.667,0.500,0.750,0.583,0.750,0.500,0.667,0.583,0.750,0.583,0.667,0.583,0.583,0.750,0.750,0.667,0.667,0.667,0.917,0.583,0.500,0.833,0.833,0.667,0.667,0.750,0.750,0.917,0.750,0.667,0.500,1.000,0.750,0.667,0.667,0.917,0.667,0.917,0.667,0.833,0.917,0.583,0.750,1.000,0.667,0.833,0.667,0.833,0.917,1.000,0.917,1.000,0.833,1.000,1.000
于禁,0.667,0.250,0.583,0.500,0.667,0.417,0.833,0.417,,0.250,0.667,0.417,0.417,0.667,0.333,0.500,0.750,0.417,0.750,0.750,0.750,0.917,0.583,0.500,0.667,0.583,0.583,0.667,0.583,0.500,0.667,0.750,0.667,0.833,0.750,0.417,0.583,0.583,0.500,0.500,0.750,0.667,0.667,0.667,0.833,0.417,0.667,0.500,0.750,0.750,0.750,0.833,0.583,0.750,0.833,0.833,0.583,0.917,0.833,0.500,0.750,0.667,0.750,0.750,0.750,0.833,0.917,0.667,0.917,0.583,0.833,0.833,0.833,0.833,0.917,0.917,1.000,0.917,1.000,0.917,1.000,0.917,0.833,0.833
小乔,0.417,0.000,0.583,0.750,0.500,0.250,0.417,0.417,0.750,,0.333,0.500,0.417,0.417,0.500,0.417,0.167,0.667,0.833,0.583,0.500,0.417,0.750,0.750,0.583,0.500,0.667,0.583,0.250,0.667,0.500,0.583,0.833,0.750,0.583,0.667,0.750,0.750,0.333,0.500,0.667,0.750,0.667,0.750,0.750,0.667,0.750,0.583,0.750,0.833,0.833,0.667,0.583,0.750,0.750,0.833,0.833,0.917,0.750,0.833,1.000,0.833,0.833,0.750,1.000,0.833,0.750,0.833,1.000,0.833,1.000,0.917,0.833,0.833,1.000,0.917,0.917,0.750,0.667,0.917,0.750,1.000,0.917,1.000
